===Base de datos stocksekai

== Estructura de tabla para la tabla products_backup_nombres_20260108

|------
|Columna|Tipo|Nulo|Predeterminado
|4179|853|COMPONENTE DE COMPUTADORA - GABINETE - DATAONE - STAR 508 - GABINETE PARA COMPUTADORA DE ESCRITORIO, DISEÑO ESTÁNDAR, INCLUYE FUENTE DE PODER|2026-01-08 12:55:02
|4180|823|COMPONENTE DE COMPUTADORA - GABINETE - DATAONE - STAR 509 - GABINETE CON FUENTE DE 600W INCLUIDA, CONECTORES USB 2.0, COLOR NEGRO, ENSAMBLAJE BÁSICO|2026-01-08 12:55:02
|4181|842|COMPONENTE DE COMPUTADORA - GABINETE DE PRUEBA - OFISZU - GENÉRICO - GABINETE PROTOTIPO O DE PRUEBA, COMPATIBLE CON TECLADO KENYA, PARA DESARROLLO O CONTROL DE CALIDAD - SIN N/P|2026-01-08 12:55:02
|4182|650|COMPONENTE DE COMPUTADORA - GABINETE - DEEP COOL - MATREXX 30 - GABINETE MICRO-ATX, PANEL LATERAL DE VIDRIO, SIN FUENTE INCLUIDA, COLOR NEGRO, DISEÑO MINIMALISTA - DP-MATX-MATREXX30|2026-01-08 12:55:02
|4183|157|COMPONENTE DE COMPUTADORA - GABINETE GAMER - GAMEMAX - RAIDER X - GABINETE FULL-TOWER GAMER, GRAN ESPACIO INTERNO, VENTILACIÓN EXTREMA, ILUMINACIÓN RGB, PARA SISTEMAS DE ALTO RENDIMIENTO|2026-01-08 12:55:02
|4184|268|COMPONENTE DE COMPUTADORA - GABINETE GAMER - THERMALTAKE - V200 - GABINETE MID-TOWER ATX, FUENTE DE 600W INCLUIDA, USB 3.0, AUDIO HD, VENTILADORES CON ILUMINACIÓN, COLOR NEGRO|2026-01-08 12:55:02
|4185|917|COMPONENTE DE COMPUTADORA - GABINETE - DATAONE - NOVA T22 - GABINETE MICRO-ATX, FUENTE DE 230W INCLUIDA, PERFIL DELGADO, IDEAL PARA USO EN OFICINA|2026-01-08 12:55:02
|4186|651|COMPONENTE DE COMPUTADORA - GABINETE MINI - ANTRYX - EXTREME XS-120 (AC-XS120K-350CP) - GABINETE MINI, FUENTE DE 350W INCLUIDA, COLOR NEGRO, PERFIL COMPACTO|2026-01-08 12:55:02
|4187|573|COMPONENTE DE COMPUTADORA - GABINETE SLIM - OFISZU - S331 - GABINETE SLIM, FUENTE 300W 80 PLUS, PUERTOS USB 2.0 X2, USB 3.0 X2, TIPO C, LECTOR SD, PERFIL DELGADO COMPLETO|2026-01-08 12:55:02
|4188|1031|ACCESORIO DE ALMACENAMIENTO - CARCASA EXTERNA - GENÉRICO - ET-H25 - CARCASA EXTERNA PARA DISCO HDD/SSD 2.5&quot;, CONEXIÓN USB 3.0, TIPO SATA, DISEÑO PORTÁTIL - SIN N/P|2026-01-08 12:55:02
|4189|828|COMPONENTE DE COMPUTADORA - GABINETE PROTOTIPO - DATAONE - FONSYS M1 - GABINETE PROTOTIPO JFA, PARA PRUEBAS DE ENSAMBLAJE, DESARROLLO O CONFIGURACIONES ESPECIALES - SIN N/P|2026-01-08 12:55:02
|4190|846|COMPONENTE DE COMPUTADORA - GABINETE PROTOTIPO - KENYA - GENÉRICO - GABINETE PROTOTIPO CON VIDRIO LATERAL Y SERIGRAFÍA 3D, COMPATIBLE CON TECLADO KENYA, PARA MUESTRAS O PRESENTACIONES - SIN N/P|2026-01-08 12:55:02
|4191|1013|COMPONENTE DE COMPUTADORA - GABINETE - SAMA - THANE 1 - GABINETE ATX CON DISEÑO VERTICAL, ESTRUCTURA ÚNICA, PARA SISTEMAS CON VENTILACIÓN OPTIMIZADA - SIN N/P|2026-01-08 12:55:02
|4192|982|COMPONENTE DE COMPUTADORA - GABINETE SLIM - TEROS - TE-1032S - GABINETE SLIM, COLOR NEGRO, PERFIL DELGADO, PARA SISTEMAS OFIMÁTICOS O COMPACTOS - SIN N/P|2026-01-08 12:55:02
|4193|954|COMPONENTE DE COMPUTADORA - GABINETE - TEROS - TE-1035S - GABINETE MINI TOWER ATX, FUENTE DE 250W, PUERTOS USB 3.0 / 2.0, AUDIO HD, COLOR NEGRO, PERFIL COMPACTO - SIN N/P|2026-01-08 12:55:02
|4194|913|COMPONENTE DE COMPUTADORA - GABINETE SLIM - TEROS - TE-1039S - GABINETE SLIM, FUENTE DE 250W, PUERTOS USB 3.0 / 2.0, AUDIO HD, LECTOR DVD, COLOR NEGRO, TODO EN UNO - SIN N/P|2026-01-08 12:55:02
|4195|793|COMPONENTE DE COMPUTADORA - GABINETE SLIM - TEROS - TE-1041N - GABINETE SLIM, FUENTE 250W, FORMATO FLEX-ATX, PUERTOS USB 3.0 X2, AUDIO HD, DISEÑO COMPACTO - SIN N/P|2026-01-08 12:55:02
|4196|71|COMPONENTE DE COMPUTADORA - GABINETE - TEROS - TE-1075N - GABINETE MID-TOWER ATX, FUENTE DE 250W, PUERTOS USB 3.0 / 2.0, AUDIO HD, COLOR NEGRO, ENSAMBLAJE GENERAL - TE1075N|2026-01-08 12:55:02
|4197|731|COMPONENTE DE COMPUTADORA - GABINETE - TEROS - TE-1149N - GABINETE MID-TOWER ATX, FUENTE DE 450W, COLOR NEGRO, PUERTOS USB 3.0 / 2.0, AUDIO HD, VENTILADOR COOLER INCLUIDO - SIN N/P|2026-01-08 12:55:02
|4198|606|COMPONENTE DE COMPUTADORA - GABINETE - TEROS - TE1070N - GABINETE MID-TOWER ATX, FUENTE DE 600W, PUERTOS USB 2.0 Y USB 3.0, AUDIO HD, COLOR NEGRO, ALTA POTENCIA INTEGRADA - SIN N/P|2026-01-08 12:55:02
|4199|778|COMPONENTE DE COMPUTADORA - GABINETE - THERMALTAKE - H350 TG (CA-1R9-00M1WN-00) - GABINETE SIN FUENTE, PANEL LATERAL DE VIDRIO, VENTILADOR RGB, ILUMINACIÓN LED, COLOR NEGRO, DISEÑO MODERNO|2026-01-08 12:55:02
|4200|466|COMPONENTE DE COMPUTADORA - GABINETE - THERMALTAKE - V100 - GABINETE MID-TOWER ATX, SIN FUENTE, PUERTOS USB 3.0/2.0, AUDIO HD, COLOR NEGRO, DISEÑO BÁSICO - SIN N/P|2026-01-08 12:55:02
|4201|70|COMPONENTE DE COMPUTADORA - GABINETE - THERMALTAKE - V2S - GABINETE MID-TOWER ATX, FUENTE DE 450W INCLUIDA, PUERTOS USB 3.0, COLOR NEGRO, ENSAMBLAJE BÁSICO - SIN N/P|2026-01-08 12:55:02
|4202|648|COMPONENTE DE COMPUTADORA - GABINETE MINI TORRE - THERMALTAKE - VERSA H17 - GABINETE MICRO CASE (M-ATX), UN VENTILADOR 120MM PREINSTALADO, PANEL I/O: USB 3.0 X1, USB 2.0 X2, AUDIO HD, SOPORTA COOLER CPU HASTA 155MM Y VGA HASTA 350MM - CA-1J1-00S1NN-00|2026-01-08 15:20:50
|4203|647|COMPONENTE DE COMPUTADORA - GABINETE MICRO-ATX - THERMALTAKE - VERSA H18 TG - GABINETE CON PANEL LATERAL DE VIDRIO TEMPLADO (TG), FORMATO MICRO-ATX, PANEL I/O CON USB 3.0 Y 2.0, CONECTORES DE AUDIO HD, COLOR NEGRO - CA-1J4-00S1WN-01|2026-01-08 15:20:50
|4204|410|COMPONENTE DE COMPUTADORA - GABINETE - THERMALTAKE - VERSA J22 TG RGB - GABINETE CON ILUMINACIÓN RGB, PANEL LATERAL DE VIDRIO TEMPLADO (TG), INCLUYE FUENTE DE PODER DE 600W, MODELO CA-3L5 - CA-3L5-60M1WU-00|2026-01-08 15:20:50
|4205|748|COMPONENTE DE COMPUTADORA - GABINETE - THERMALTAKE - VERSA T25 TG - GABINETE CON PANEL LATERAL DE VIDRIO TEMPLADO (TG), INCLUYE FUENTE DE PODER DE 600W, COLOR NEGRO, MODELO CA-3R5 - CA-3R5-60M1WU-00|2026-01-08 15:20:50
|4206|779|COMPONENTE DE COMPUTADORA - GABINETE MID-TOWER - THERMALTAKE - VERSA T35 RGB - GABINETE MID-TOWER CON ILUMINACIÓN RGB, PANEL LATERAL DE VIDRIO TEMPLADO, SIN FUENTE DE PODER INCLUIDA, COLOR NEGRO - CA-1R7-00M1WN-00|2026-01-08 15:20:50
|4207|232|COMPONENTE DE COMPUTADORA - GABINETE - VASTEC - GENÉRICO - GABINETE ATX COLOR NEGRO CON FUENTE DE PODER DE 300W INCLUIDA, MODELO 6823|2026-01-08 15:20:50
|4208|186|CONSUMIBLE DE ALMACENAMIENTO - CD GRABABLE - PRINCO - GENÉRICO - DISCO ÓPTICO CD-R CAPACIDAD 700MB (80 MINUTOS), GRABABLE UNA VEZ, PARA ALMACENAMIENTO DE DATOS Y MÚSICA|2026-01-08 15:20:50
|4209|724|DISPOSITIVO MÓVIL - SMARTPHONE - NOKIA - C20 - SMARTPHONE CON PANTALLA DE 6.5 PULGADAS, MEMORIA RAM 2GB, ALMACENAMIENTO INTERNO 32GB, CÁMARA TRASERA 5 MEGAPÍXELES, SISTEMA OPERATIVO ANDROID|2026-01-08 15:20:50
|4210|1166|ACCESORIO DE EMPAQUE - CINTA DE EMBALAJE - KENYA - GENÉRICO - CINTA ADHESIVA DE EMBALAJE, COMPATIBLE CON TECLADOS KENYA, PARA SELLADO DE CAJAS Y PAQUETES|2026-01-08 15:20:50
|4211|145|CONSUMIBLE DE IMPRESIÓN - CINTA IMPRESORA - EPSON - S015335 - CINTA DE IMPRESIÓN (RIBBON) PARA IMPRESORA MATRICIAL EPSON FX-190/LQ-2090, NEGRO|2026-01-08 15:20:50
|4212|95|CONSUMIBLE DE IMPRESIÓN - CINTA IMPRESORA - EPSON - S015384 - CINTA DE IMPRESIÓN (RIBBON) NEGRA PARA IMPRESORA MATRICIAL EPSON DFX-9000|2026-01-08 15:20:50
|4213|879|CONSUMIBLE DE IMPRESIÓN - CINTA DE TRANSFERENCIA - GENÉRICO - CLEAR PATCH - CINTA O FILM DE TRANSFERENCIA TÉRMICA, RENDIMIENTO APROX. 600 IMÁGENES, PARA IMPRESORAS DE ETIQUETAS O TRANSFER|2026-01-08 15:20:50
|4214|960|PERIFÉRICO - COMBO TECLADO Y MOUSE - LOGITECH - MK120 - COMBO TECLADO Y MOUSE CABLEADO USB, DISEÑO ESCRITORIO, ESPAÑOL, COLOR NEGRO, MODELO 920-004428|2026-01-08 15:20:50
|4215|785|PERIFÉRICO - COMBO TECLADO Y MOUSE - GENIUS - KM-170 SP - COMBO TECLADO MULTIMEDIA Y MOUSE ÓPTICO CABLEADO USB, COLOR NEGRO, MODELO 31330006402|2026-01-08 15:20:50
|4216|376|PERIFÉRICO - COMBO TECLADO Y MOUSE - TEROS - TE-4031N - COMBO TECLADO Y MOUSE INALÁMBRICO 2.4GHZ, RECEPTOR NANO USB, COLOR NEGRO, PARA OFICINA Y HOGAR|2026-01-08 15:20:50
|4217|755|PERIFÉRICO - COMBO TECLADO Y MOUSE - MICROSOFT - ERGONOMIC DESKTOP - COMBO TECLADO ERGONÓMICO Y MOUSE CABLEADO USB, DISEÑO DIVIDIDO Y CURVO, ESPAÑOL, COLOR NEGRO - RJU-00003|2026-01-08 15:20:50
|4218|190|PERIFÉRICO - COMBO TECLADO Y MOUSE - TEROS - TE-4061N - COMBO TECLADO MULTIMEDIA Y MOUSE INALÁMBRICO 2.4GHZ, RECEPTOR NANO USB, COLOR NEGRO|2026-01-08 15:20:50
|4219|64|PERIFÉRICO - COMBO TECLADO Y MOUSE GAMER - THERMALTAKE - CHALLENGER GAMING (CM-CHC-WLXXPL-SP) - COMBO TECLADO Y MOUSE GAMER CABLEADO, RETROILUMINACIÓN RGB, TECLADO ERGONÓMICO, SENSOR ÓPTICO, ESPAÑOL|2026-01-08 15:20:50
|4220|591|PERIFÉRICO - COMBO TECLADO Y MOUSE GAMER - THERMALTAKE - CHALLENGER GAMING (CM-CHC-WLXXPL-SP) - COMBO TECLADO Y MOUSE GAMER CABLEADO, RETROILUMINACIÓN RGB, TECLADO ERGONÓMICO, SENSOR ÓPTICO, ESPAÑOL, VERSIÓN KENYA|2026-01-08 15:20:50
|4221|797|PERIFÉRICO - COMBO TECLADO Y MOUSE GAMER - THERMALTAKE - TT ESPORTS COMMANDER COMBO V2 - COMBO PARA JUEGOS CON MOUSE DE 2500 DPI Y 3 COLORES DE ILUMINACIÓN, VERSIÓN KENYA|2026-01-08 15:20:50
|4222|932|PERIFÉRICO - COMBO TECLADO Y MOUSE GAMER - GENIUS - GX SCORPION KM-GX6 AI COPILOT - COMBO GAMER RGB, TECLADO ANTI-GHOSTING 19 TECLAS, MOUSE 3200 DPI, COLOR NEGRO|2026-01-08 15:20:50
|4223|456|PERIFÉRICO - COMBO TECLADO Y MOUSE - LENOVO - 5KM1C40664 - COMBO TECLADO Y MOUSE INALÁMBRICO, COLOR BLANCO, PARA OFICINA Y HOGAR|2026-01-08 15:20:50
|4224|694|PERIFÉRICO - COMBO TECLADO Y MOUSE - LOGITECH - MK120 - COMBO TECLADO Y MOUSE CABLEADO USB, DISEÑO ESCRITORIO, ESPAÑOL, COLOR NEGRO, MODELO 920-004428|2026-01-08 15:20:50
|4225|65|PERIFÉRICO - COMBO TECLADO Y MOUSE - TEROS - TE4062N - COMBO TECLADO Y MOUSE CABLEADO USB, ACABADO ELEGANTE, MOUSE ÓPTICO, COLOR NEGRO, DISTRIBUCIÓN ESPAÑOL|2026-01-08 15:20:50
|4226|836|PERIFÉRICO - COMBO TECLADO Y MOUSE - GENIUS - GENÉRICO - COMBO TECLADO MULTIMEDIA Y MOUSE CABLEADO USB, ESPAÑOL, COLOR NEGRO, TECLADO ANTIDERRAME, MARCA JFA|2026-01-08 15:20:50
|4227|349|PERIFÉRICO - COMBO TECLADO Y MOUSE - KENYA - WIRED 600 - COMBO TECLADO MULTIMEDIA Y MOUSE CABLEADO USB, ESPAÑOL, COLOR NEGRO, TECLADO ANTIDERRAME|2026-01-08 15:20:50
|4228|578|PERIFÉRICO - COMBO DE ESCRITORIO - TEROS - TE-4063N - KIT COMPLETO INCLUYE TECLADO MULTIMEDIA, MOUSE, AURICULARES (HEADSET) Y MOUSEPAD, COLOR NEGRO|2026-01-08 15:20:50
|4229|1180|COMPUTADORA - TODO EN UNO - LENOVO - IDEACENTRE 24IRH9 - AIO 23.8&quot; FHD IPS, PROCESADOR INTEL CORE I7-13620H (4.9GHZ), 16GB DDR5, 512GB SSD, SISTEMA OPERATIVO INCLUIDO - F0HN00MJLD|2026-01-08 15:20:50
|4230|1048|COMPUTADORA - ESCRITORIO ENSAMBLADA - GENÉRICO - AMD RYZEN 9 7950X - PC ENSAMBLADA: AMD RYZEN 9 7950X, MOTHERBOARD B650, RAM 16GB, PSU ANTEC 850W GOLD, WATERCOOLING 360MM, GPU NVIDIA RTX 4060 TI 16GB, CASE ANTEC RGB|2026-01-08 15:20:50
|4231|1108|COMPUTADORA - ESCRITORIO ENSAMBLADA - GENÉRICO - INTEL CORE I7-14700 - PC ENSAMBLADA: INTEL CORE I7-14700, RAM 32GB, SSD 1TB, GPU 12GB, MONITOR LG 24&quot;, ESTABILIZADOR FORZA 1200W|2026-01-08 15:20:50
|4232|1099|COMPUTADORA - ESCRITORIO ENSAMBLADA - GENÉRICO - INTEL CORE I7-12VA - PC ENSAMBLADA: PROCESADOR I7-12VA, 16GB RAM, 1TB SSD, GPU NVIDIA RTX 5050 8GB, INCLUYE MONITOR 27&quot; FHD|2026-01-08 15:20:50
|4233|1089|COMPUTADORA - ESCRITORIO ENSAMBLADA - GENÉRICO - INTEL CORE I7 - PC ENSAMBLADA: PROCESADOR I7, MOTHER H610, 16GB RAM, 1TB HDD, KIT TECLADO/MOUSE, ESTABILIZADOR CDP 8 TOMAS, MONITOR PLANO TEROS|2026-01-08 15:20:50
|4234|702|COMPUTADORA - ESCRITORIO - GENÉRICO - INTEL CORE I7-10700 - PC DE ESCRITORIO: PROCESADOR I7-10700 2.9GHZ, 16GB RAM, 1TB SSD, LAN/WLAN, USB, VGA, HDMI, WINDOWS 10 PRO, UNIDAD ÓPTICA, TECLADO/MOUSE, OFFICE HOME &amp; BUSINESS 2019|2026-01-08 15:20:50
|4235|84|COMPUTADORA - ESCRITORIO SFF - LENOVO - THINKCENTRE M800 SFF - PC COMPACTO SFF: PROCESADOR INTEL CORE I5-6400 2.7GHZ, 4GB RAM, 500GB HDD, UNIDAD DVD, WINDOWS 10 PRO - 10FX-A02B00|2026-01-08 15:20:50
|4236|203|COMPUTADORA - ESCRITORIO MINITORRE - HP - M01-F1004BLA - PC MINITORRE: INTEL CORE I5-10400 (4.3GHZ), 4GB RAM, 1TB HDD, WINDOWS 10 HOME, INCLUYE MONITOR HP V22 - 2A5V3AA#ABM|2026-01-08 15:20:50
|4237|780|COMPUTADORA - ESCRITORIO MINITORRE - HP - S01-PF100BLA - PC MINITORRE: INTEL CORE I3-10100 3.6GHZ, 4GB RAM, 1TB HDD, WINDOWS 10 HOME, INCLUYE MONITOR HP 22HY - 7WT19AA#ABM|2026-01-08 15:20:50
|4238|1302|COMPUTADORA - ESCRITORIO - HP - PRO 260 G9 - PC DE ESCRITORIO: PROCESADOR INTEL CORE I5-1334U, 16GB RAM, SSD 512GB, SISTEMA OPERATIVO INCLUIDO, DISEÑO COMERCIAL|2026-01-08 15:20:50
|4239|1092|COMPUTADORA - ESCRITORIO SFF - HP - PRO SFF 400 G9 - PC COMPACTO SFF: PROCESADOR INTEL CORE I5-14500 (5GHZ), 16GB DDR5-4800 RAM, SISTEMA OPERATIVO INCLUIDO|2026-01-08 15:20:50
|4240|971|COMPUTADORA - ESCRITORIO SFF - HP - PRO SFF 400 G9 - PC COMPACTO SFF: PROCESADOR INTEL CORE I7-14700 (5.4GHZ), 16GB DDR5-4800 RAM, SISTEMA OPERATIVO INCLUIDO|2026-01-08 15:20:50
|4241|131|COMPUTADORA - ESCRITORIO SFF - LENOVO - THINKCENTRE M75S SFF - PC COMPACTO SFF: PROCESADOR AMD RYZEN 7 PRO 3700, 8GB RAM, 1TB HDD, WINDOWS 10 PRO - 11AWS04L00|2026-01-08 15:20:50
|4242|899|COMPUTADORA - ESCRITORIO SFF - LENOVO - THINKCENTRE NEO 50S GEN4 - PC COMPACTO SFF: INTEL CORE I7-13700 (5.1GHZ), 16GB DDR4-3200 RAM, 512GB SSD, WINDOWS 11 PRO - 12JES1U000|2026-01-08 15:20:50
|4243|1221|COMPUTADORA - ESCRITORIO SFF - LENOVO - THINKCENTRE NEO 50S GEN5 - PC COMPACTO SFF: INTEL CORE I5-14400 (4.7GHZ), 16GB DDR5-4800 RAM, SISTEMA OPERATIVO INCLUIDO - 12XG0017LD|2026-01-08 15:20:50
|4244|1025|COMPUTADORA - PORTÁTIL - GENÉRICO - INTEL CORE ULTRA 7 165U - LAPTOP 16&quot;: PROCESADOR INTEL CORE ULTRA 7 165U, 16GB DDR5 RAM, 1TB SSD, WINDOWS 11 PRO ESPAÑOL, BATERÍA LI-PO 3 CELDAS, PESO 1.66 KG|2026-01-08 15:20:50
|4245|1066|COMPUTADORA - ESCRITORIO ENSAMBLADA GAMER - TEROS - TE 1149N - PC GAMER ENSAMBLADA: GABINETE TEROS TE-1149N, PROCESADOR INTEL CORE I7-12700, 16GB RAM, 1TB SSD, 1TB HDD|2026-01-08 15:20:50
|4246|1068|COMPUTADORA - PAQUETE GAMER ENSAMBLADO - TEROS - TE 1149N - PC GAMER ENSAMBLADA (I7-12700/16GB/1TB SSD+1TB HDD) CON MONITOR TEROS TE-2415S 23.8&quot; FHD 120HZ, COMBO TECLADO/MOUSE TEROS Y ESTABILIZADOR|2026-01-08 15:20:50
|4247|1039|COMPUTADORA - TODO EN UNO - ASUS - 90PT03W7-M00W80 - AIO 27&quot; FHD IPS, PROCESADOR INTEL CORE I7-13620H (4.90GHZ), 16GB DDR5, 1TB SSD NVME, WINDOWS INCLUIDO - PCAS90PT03W7M00 P470VA|2026-01-08 15:20:50
|4248|329|ACCESORIO DE RED - CONECTOR JACK - SATRA - GENÉRICO - CONECTOR JACK CATEGORÍA 6 PARA CABLE DE 22 A 26 AWG, COLOR BLANCO, PARA TERMINACIÓN DE CABLEADO ESTRUCTURADO|2026-01-08 15:20:50
|4249|211|ACCESORIO DE RED - CONECTOR RJ45 - NEXXT - AW102NXT01 - CONECTORES RJ45 MACHO CATEGORÍA 5E, PAQUETE DE 100 UNIDADES, PARA REDES ETHERNET|2026-01-08 15:20:50
|4250|568|ACCESORIO DE VIDEOVIGILANCIA - BALUN DE VIDEO - FOLKSAFE - FS-HDP4100C - BALUN DE VIDEO HD PASIVO, TRANSMITE SEÑAL DE CÁMARA HD-TVI/CVI/AHD/CVBS POR CABLE UTP CAT5E/6 HASTA 440M (HD-CVI 720P), CONECTORES BNC MACHO, NO REQUIERE ENERGÍA, COLOR NEGRO|2026-01-08 15:20:50
|4251|641|ACCESORIO DE RED - CONECTORES RJ45 - SATRA - 1101040001 - CONECTORES PLUG RJ45 CATEGORÍA 5E, CAJA CON 100 UNIDADES, CUMPLEN NORMA ANSI/TIA 568-C.2|2026-01-08 15:20:50
|4252|690|ACCESORIO DE RED - CONECTORES RJ45 - SATRA - GENÉRICO - CONECTORES PLUG RJ45 CATEGORÍA 6, PARA TERMINACIÓN DE CABLEADO DE RED DE ALTA VELOCIDAD HASTA 1 GBPS|2026-01-08 15:27:59
|4253|1223|CONSUMIBLE DE IMPRESIÓN - PAPEL TERMICO - GENÉRICO - GENÉRICO - ROLLO DE PAPEL TERMICO PARA IMPRESORAS DE TICKET, 80X80X13 MM (ALTO/ANCHO/DIÁMETRO), GRAMAGE 55-58 GR, IMPORTADO|2026-01-08 15:27:59
|4254|547|ACCESORIO GAMER - CONTROLADOR DE JUEGO - GENÉRICO - K21 - CONTROLADOR MÓVIL (GAME CONTROLLER) PARA IPHONE Y ANDROID, COMPATIBLE CON PANTALLAS DE 4.7 A 6.5 PULGADAS, CONEXIÓN BLUETOOTH|2026-01-08 15:27:59
|4255|770|ACCESORIO DE VIDEO - CONVERSOR SMART TV - AMAZON - FIRE TV STICK - DISPOSITIVO DE TRANSMISIÓN DE MEDIOS, CONECTIVIDAD FULL HD, 8GB ALMACENAMIENTO, 1GB RAM, CONTROL DE VOZ ALEXA|2026-01-08 15:27:59
|4256|918|COMPONENTE DE COMPUTADORA - VENTILADOR DE GABINETE - CYBERCOOL - GENÉRICO - COOLER O VENTILADOR PARA GABINETE DE 3 PULGADAS (APROX. 80MM), MEJORA VENTILACIÓN INTERNA DEL CASE|2026-01-08 15:27:59
|4257|1058|COMPONENTE DE COMPUTADORA - VENTILADOR DE GABINETE - COOLER MASTER - MF120 S3 - VENTILADOR PARA GABINETE DE 120MM, CAJA, DISEÑO PARA FLUJO DE AIRE ESTÁTICO Y PRESIÓN, TIPO MOTOR RIFLE BEARING|2026-01-08 15:27:59
|4258|523|COMPONENTE DE COMPUTADORA - COOLER DE CPU - DEEPCOOL - GAMMAXX 400S (DP-MCH4-GMX400S) - DISIPADOR DE AIRE PARA PROCESADOR, COMPATIBLE CON SOCKETS AMD E INTEL, 4 HEATPIPES DE COBRE, VENTILADOR PWM DE 120MM, BAJO RUIDO|2026-01-08 15:27:59
|4259|989|COMPONENTE DE COMPUTADORA - COOLER DE CPU LIQUIDO - GIGABYTE - AIO GME 360 WHITE - ENFRIAMIENTO LÍQUIDO TODO EN UNO (AIO), RADIADOR DE 360MM, VENTILADORES RGB, CABEZA DE AGUA ILUMINADA, COLOR BLANCO|2026-01-08 15:27:59
|4260|143|COMPONENTE DE COMPUTADORA - COOLER DE CPU - INTEL - GENÉRICO - COOLER (DISIPADOR) DE REFERENCIA PARA PROCESADOR INTEL, INCLUIDO EN CAJAS DE CPU DE GAMA ENTRY LEVEL|2026-01-08 15:27:59
|4261|293|COMPONENTE DE COMPUTADORA - COOLER DE CPU - INTEL - GENÉRICO - COOLER (DISIPADOR) PARA PROCESADORES INTEL SOCKET LGA1200, DISIPACIÓN TÉRMICA DE DISEÑO (TDP) HASTA 65W|2026-01-08 15:27:59
|4262|287|ACCESORIO PARA LAPTOP - BASE REFRIGERANTE - GENÉRICO - YL-818 - COOLER O BASE REFRIGERANTE PARA LAPTOP, VENTILADOR INTEGRADO, MEJORA DISIPACIÓN DE CALOR|2026-01-08 15:27:59
|4263|689|COMPONENTE DE COMPUTADORA - VENTILADOR DE GABINETE - GENÉRICO - GENÉRICO - VENTILADOR PARA GABINETE DE PC, TAMAÑO Y CONEXIÓN ESTÁNDAR, GENÉRICO O DE REPOSICIÓN|2026-01-08 15:27:59
|4264|69|COMPONENTE DE COMPUTADORA - VENTILADOR DE GABINETE - ICECOOL - GENÉRICO - VENTILADOR PARA GABINETE DE 8 CM, INCLUYE 4 TORNILLOS, PARA GESTIÓN TÉRMICA BÁSICA|2026-01-08 15:27:59
|4265|816|ACCESORIO PARA CONSOLA - BASE REFRIGERANTE - DOBE - TP4-831 - BASE COOLER PARA PLAYSTATION 4 PRO, INCORPORA 5 VENTILADORES, CONEXIÓN USB, DISEÑO PARA REFRIGERACIÓN EXTRA|2026-01-08 15:27:59
|4266|998|COMPONENTE DE COMPUTADORA - COOLER DE CPU - INTEL - GENÉRICO - COOLER (DISIPADOR) COMPATIBLE CON PROCESADORES INTEL SOCKET LGA1700 (12VA Y 13VA GENERACIÓN)|2026-01-08 15:27:59
|4267|870|ACCESORIO PARA LAPTOP - BASE REFRIGERANTE - TEROS - TE-7132N - COOLER PARA NOTEBOOKS DE HASTA 15.6 PULGADAS, 1 VENTILADOR DE 11 CM, SUPERFICIE DE ALUMINIO Y SILICONA|2026-01-08 15:27:59
|4268|820|ACCESORIO PARA LAPTOP - BASE REFRIGERANTE - TEROS - TE-7133N RGB - COOLER PARA NOTEBOOKS DE 14&quot; A 19&quot;, ILUMINACIÓN RGB, VENTILADOR MULTIPLE, MEJORA REFRIGERACIÓN Y ESTILO|2026-01-08 15:27:59
|4269|794|ACCESORIO PARA LAPTOP - BASE REFRIGERANTE - XTECH - XTA150 - COOLER PARA LAPTOP DE 14 PULGADAS, VENTILADOR DE 160MM, CABLE USB CON 2 PUERTOS USB EXTRA, COLOR NEGRO|2026-01-08 15:27:59
|4270|575|MATERIAL DE OFICINA - ORGANIZADOR - VASTEC - GENÉRICO - CUBO O PORTANOTAS PARA BLOQUES POST-IT, DISEÑO PARA ESCRITORIO|2026-01-08 15:27:59
|4271|1110|CABLE Y ADAPTADOR - CABLE DE DATOS Y CARGA - ONCE - OC-433C - CABLE USB TIPO C, SOPORTA CARGA RÁPIDA HASTA 100W (6.6A), PARA DISPOSITIVOS TIPO C DE ALTA POTENCIA|2026-01-08 15:27:59
|4272|472|ACCESORIO DE LIMPIEZA - ESTERILIZADOR - GENÉRICO - GENÉRICO - ESTERILIZADOR MULTIFUNCIONAL CON LÁMPARA ULTRAVIOLETA (UVC), PARA DESINFECTAR OBJETOS PEQUEÑOS COMO TELÉFONOS Y ACCESORIOS|2026-01-08 15:27:59
|4273|848|ACCESORIO ELECTRÓNICO - DETECTOR DE TEMPERATURA - HAGROY - HG-DT503 - PIRÓMETRO O TERMÓMETRO INFRARROJO PARA MEDICIÓN DE TEMPERATURA SIN CONTACTO, PUNTERO LÁSER|2026-01-08 15:27:59
|4274|1138|COMPONENTE PARA SERVIDOR - DISCO DURO INTERNO - DELL - 0RWR8F / 0F9NWJ / 400-BEGI - DISCO SAS DE 2.4TB, 10K RPM, FORMATO 2.5&quot;, INTERFAZ 12GB/S, COMPATIBLE CON RACK DELL POWEREDGE R430/R630/R730, HOT-SWAP|2026-01-08 15:27:59
|4275|1051|ACCESORIO DE ALMACENAMIENTO - DISCO DURO EXTERNO - WESTERN DIGITAL - ELEMENTS PORTABLE - DISCO EXTERNO PORTÁTIL DE 1TB, USB 3.2 GEN 1 (USB 3.0), COLOR NEGRO, DISEÑO COMPACTO|2026-01-08 15:27:59
